"","chromosome","position","p.value.none","p.value.all","p.value.sva","coefficient.none","coefficient.all","coefficient.sva"
"cg24090911","chr5",400732,4.39006273111895e-10,5.24648917194592e-12,0.00147073860071118,-0.0349633173112702,-0.0359659124301797,-0.01649497759357
"cg26057969","chr3",127310291,0.000368580837170835,0.00017856487718609,0.00147565382243624,-0.0199447410252968,-0.0106067240725128,-0.0082686028561056
"cg18851960","chr19",43979739,1.85854987654824e-05,0.000192721465731927,0.00153473114782377,-0.0259511938003176,-0.0210064652525091,-0.0174835727569788
"cg07201319","chr6",139909641,0.00552880279952064,0.000241636778632737,0.00159070405623733,-0.0182580541679088,-0.0195629964250075,-0.0175807578151354
"cg14530937","chr1",149233393,0.000510315124489486,0.000292667424761383,0.00167721098698397,0.0252362132410077,0.025402242487292,0.0250844439949897
"cg00124375","chr6",31698218,0.0106435442092009,8.97920057360064e-05,0.00169274734503418,0.0103703982565471,0.0107524045671008,0.00827533616395674
"cg16525738","chr1",72885079,0.00017126754976867,0.000451834768185966,0.00169298035382443,0.0030761448117719,0.00292018273421445,0.0029408843525465
"cg01477985","chr13",112727160,0.000213252154200562,0.000613197136833691,0.00169987592119324,0.0163765073332631,0.0169831432903273,0.0142874260004918
"cg12828729","chr5",134823969,0.00312787994021367,0.000385303250711474,0.00172101374279198,0.0189523703250942,0.0206108960988524,0.0177380850888105
"cg12963656","chr3",101659687,0.644259810063632,5.49895171144161e-06,0.00174243527743367,0.00514004693667,0.0242781293156692,0.0158920578940699
"cg11271593","chr19",50000860,0.0310563855485622,0.00028562135034135,0.0017776988215886,-0.018740207531157,-0.0232946094919191,-0.0200460420134692
"cg24787138","chr6",43214590,1.33889147193385e-07,6.9189796611332e-08,0.00180158344022202,-0.03223481258722,-0.0291710445640232,-0.0160017753817086
"cg03095773","chr2",102051598,0.0627086411357993,7.78111241133467e-05,0.00180911651847198,-0.0100571128302868,-0.0178788295374653,-0.0160229293581091
"cg06048750","chr10",3823844,0.904484827187139,0.000267847333250582,0.00182264694282925,0.000808616717996369,-0.0118432123233094,-0.0102324804665172
"cg18754985","chr3",98237750,0.000107707620330643,1.32915657395644e-06,0.00187325391304728,-0.00683510190209797,-0.00783727252262832,-0.00453880562994816
"cg04963514","chr10",44162879,0.0109047763736181,5.99247551423397e-05,0.00187974051609503,0.0056464570120277,0.00907751775521136,0.00587892786555871
"cg02027800","chr10",1228949,0.000591366242485006,0.000151137078595803,0.00190741134729244,0.0120181222286293,0.012645710269489,0.013011289873111
"cg25535418","chr6",144386474,0.00065933878081525,1.27190419516862e-07,0.00198885320495241,-0.0159511835313555,-0.0215817881037387,-0.01222247912085
"cg20601319","chr15",23037637,0.000124946457614065,0.00512961579321544,0.0020171912149201,0.0143432502826153,0.00921342467328755,0.0095827308140868
"cg08255211","chr16",6067801,6.62609449030906e-05,8.82081531040392e-05,0.00203963438855374,0.0205695977989748,0.0196058557921584,0.014688052912163
"cg04561731","chr1",54869371,0.0710891120834201,9.20613441866658e-06,0.002053121907311,0.00870812160521367,0.0142462691686312,0.0108456852959037
"cg00396865","chr9",139620597,0.0032704400904414,2.39206408287276e-06,0.00207443900752592,-0.0125399945548907,-0.0173885973667984,-0.0117624439326002
"cg05055150","chr19",35783292,7.19547087467401e-05,0.000645062049922071,0.00210898477062144,0.024973888900387,0.0154325272776067,0.0129418616267264
"cg10237088","chr20",30794611,0.00172605822100884,4.95295137905382e-06,0.00211236858099759,-0.0184648584276002,-0.0235934799097159,-0.0133399333127065
"cg01578875","chr4",146804010,0.0128354604521364,1.1982761190294e-06,0.00221263013013662,0.00751147909595941,0.0105168306951866,0.00782971485634508
"cg20731257","chr2",87883497,0.000656180636576055,2.87234313571986e-05,0.0022394680622966,0.023481095313141,0.0255742045534542,0.0189336943770458
"cg02283485","chr10",81003020,1.4962279880438e-05,3.8702136630492e-06,0.00224697582517239,0.00416426227899464,0.00467721267659886,0.00309141511752088
"cg23743911","chr2",86949715,1.15407082790315e-05,7.33066270864645e-06,0.00225939727883508,0.0251702865864975,0.0255333423291693,0.0175080843193716
"cg17359265","chr5",178567126,0.383904705192471,0.000361347262454473,0.00227868136499276,-0.00480030731564641,-0.0142246611053183,-0.0105290836089393
"cg09570614","chr2",112124380,0.00916127233966535,4.58142131263829e-06,0.00231344519909196,0.016229311272713,0.0209387214189728,0.0131538605432425
"cg07340473","chr6",33256962,0.000165078560410631,0.000767907893544805,0.00237251775511925,-0.00258408378928052,-0.00241265375520648,-0.00193862892936237
"cg18582010","chr8",131415376,0.00274367975264271,7.54750472126205e-06,0.00237841643827922,0.0243682682258454,0.0297187307598722,0.0230123573614078
"cg14395060","chr22",32441170,0.000253755675047517,0.00459303904014001,0.00237947741298478,0.0461259743799695,0.033063058379358,0.0272365785701506
"cg18956562","chr7",144149304,2.53527417804782e-08,1.54086321888952e-08,0.00249880462869357,0.0303905113885043,0.0308034814586208,0.0171725456771403
"cg21913886","chr1",15485346,6.46333615438164e-06,7.50404756975194e-06,0.00250864271812647,-0.0269769473590332,-0.0274582649695398,-0.01860321163256
"cg00763094","chr1",171455187,7.51150226847206e-06,2.200215712706e-05,0.00251699101196281,-0.00234694609134133,-0.00231416400918061,-0.00117409377649623
"cg06197751","chr3",153912866,0.000101705607449921,7.89357148337492e-05,0.00252166049120302,0.0178161674600427,0.0183913984949044,0.0127636637104953
"cg00928816","chr10",63809098,0.220082763938766,2.41692381302813e-08,0.00255336477731523,-0.00961847021487318,-0.0208875834838992,-0.0110074342237422
"cg07312099","chr8",17942583,3.65630220334182e-05,0.000384227511571277,0.00256250405051259,-0.0140378327982438,-0.0111567489267483,-0.00732788999294898
"cg23816537","chr11",60634869,3.39917253515978e-05,1.19232434564991e-05,0.0026362154848808,0.0175569092702181,0.013576008808329,0.00831802058345055
"cg20832320","chr3",49712339,0.0157555483661845,1.24247969502138e-05,0.00269498197064239,-0.0102171582961697,-0.0167284884174451,-0.00942196892364749
"cg26764244","chr1",68299511,2.70121416990418e-06,0.000366435461807043,0.00272964676950063,-0.032661864729784,-0.0257582046368795,-0.0210247057539217
"ch.2.113772948R","chr2",114056478,1.03142460082435e-06,1.72572548966374e-05,0.00274550370084811,-0.00696277734108243,-0.00593949078477484,-0.00274411588341815
"cg26126740","chr20",42574332,5.0210049004796e-08,1.68943596772443e-07,0.00276296873700703,0.0200642436275206,0.0186755656533287,0.0094539022640596
"cg14445389","chr2",100426973,1.19398032025601e-06,5.98593480499155e-05,0.00277317098932796,0.0099226077345173,0.00799271223582182,0.00577205853265089
"cg14093127","chr2",8714417,3.9206170814483e-05,6.61216542709768e-07,0.00284667319822022,-0.0285461439620034,-0.0272901537424034,-0.0190543636741586
"cg08266095","chr5",123149716,2.31592783651328e-05,0.00100601206536155,0.00288903243802919,-0.0439397736555088,-0.0323303646538775,-0.0271737957892443
"cg21746120","chr11",68142234,0.00347618663418486,0.000236442151400888,0.00292183204273379,-0.022256261579935,-0.0136518081606615,-0.0103972576637717
"cg14059835","chr9",132598917,6.15418719657311e-05,0.00893197885803486,0.0030155310879652,-0.00862881555857908,-0.00402608315895272,-0.00556061990076017
"cg21205288","chr11",69001516,2.96596230292632e-07,7.60298856912598e-07,0.00303637471018773,-0.0223638822567193,-0.0205492697000943,-0.0120147461917294
"cg23820816","chr4",154125594,0.00330125822843146,0.000271396763606075,0.00305304847201845,-0.0270375610433469,-0.0304050566883648,-0.0202583634021081
"cg17390041","chr15",85175552,0.00928058796771386,0.000131193831413469,0.0031184555184082,-0.00703622590384262,-0.00957976544363364,-0.0074974166412669
"cg15036326","chr17",27048708,0.130998120229774,7.05430027772526e-07,0.00319988600501385,-0.0155741826088346,-0.026165265090651,-0.0119322469893875
"cg20477259","chr6",31544960,0.732486634562141,2.73721799609707e-05,0.00321087310633472,-0.00297584952454893,-0.0158827272539065,-0.0104660304873688
"cg10581837","chr13",76334707,0.106249771848476,0.000111030540568836,0.0032483633066539,0.0112162690855773,0.0217738389299428,0.0141267555537261
"cg23025459","chr1",3134420,0.000172571422179361,4.31547886652759e-05,0.00327548410111662,0.0369874496457906,0.0413569017402915,0.0275447272315051
"cg16364817","chr16",84079266,1.70034531736699e-06,0.000171117615262463,0.00328013149060081,0.0151736565612259,0.0126272710896207,0.00974628173826522
"cg19464252","chr16",30675233,0.468671661049526,3.93364012052345e-05,0.00336669697594521,-0.00537413318230734,-0.0183205425696397,-0.00917728828392041
"cg16794579","chr16",17562419,5.56652742812077e-07,0.000165608532561499,0.00337813040172718,-0.0284572860675997,-0.0194893202398797,-0.0159105841676467
"cg01668352","chr12",64482597,1.34579656675962e-05,2.55628534415076e-06,0.00367957967452136,-0.010493455959204,-0.0105784410324508,-0.00678733227624196
"cg26662324","chr10",126745862,0.0069418608895751,9.57125364827174e-05,0.00375569840044789,-0.0171835964962303,-0.0219195538678908,-0.0162858422270601
"cg07354728","chr11",537717,1.66444464246704e-05,0.000125473605668624,0.00380141331824197,-0.0179984861722844,-0.0150150750518732,-0.00914795720290153
"cg12423733","chr6",29454623,4.68912967248884e-06,5.15855970789389e-07,0.00391360359433307,0.0301443995585772,0.0292413219477795,0.0149580611499182
"cg17136548","chr8",441881,0.000121818950443905,0.000186363751657537,0.00392344080580738,0.0126639009873866,0.0118282011671372,0.00562685001877679
"cg01500140","chr19",51890586,0.00026615610861725,0.0440881782535198,0.00392419518875664,0.0294674269004789,0.00802421947453391,-0.00959664148828868
"cg14012925","chr7",101556907,0.000403091790014473,7.18715267040019e-08,0.00394125806108936,0.0318732070627276,0.0354483730787101,0.0195701914177018
"cg08790890","chr2",129200109,0.000888188199100027,1.03722934278713e-05,0.00397271700062911,-0.0242186307120321,-0.0183297844324047,-0.0129554848623808
"cg05570258","chr7",105662884,0.00348889162564981,7.96063658490135e-05,0.00401791655555164,0.00998220326747972,0.0104966048806851,0.00733452121569186
"cg15707869","chr8",88884985,0.066760929667333,1.18848673206049e-05,0.00403765518177877,-0.0120780823125539,-0.01956345048435,-0.0101947577864182
"cg00218893","chr17",73073239,1.27617987723459e-06,5.42089142755647e-05,0.00404142365405977,-0.0168646551849151,-0.0144469824506257,-0.0107974082090215
"cg22985146","chr3",37219077,0.00428859646395001,0.000263984902373087,0.0040434859998976,-0.0313594020544853,-0.0310621760763846,-0.0243595930981175
"cg21473814","chr19",18873268,3.75557286517287e-07,9.98833211455741e-09,0.00406462797132312,0.0361219394283728,0.0388821506351608,0.0177807814107607
"cg13489049","chr21",42875961,6.443837185406e-06,6.56067146527888e-06,0.00407720847042011,0.0202886741230822,0.0198648126577291,0.0140083387153977
"cg25305703","chr8",128378218,2.62471505397548e-05,3.39340674596994e-06,0.00413475041453746,-0.0482962313752356,-0.0478397048047099,-0.0293794025957334
"cg12894984","chr17",37823631,0.00273271518429607,0.000283062906884202,0.00425257518710202,0.0133991702152913,0.0142442827754261,0.00956225362931148
"cg21597649","chr7",12251342,0.000217600636965136,0.00266214625473548,0.00432986577317134,-0.00178822267920958,-0.00150140085781885,-0.0016316946987009
"cg20227860","chr4",39368720,2.72395333593051e-05,0.000559561223164425,0.00433698575558624,0.00488550095514323,0.00440506098702331,0.00266403348758417
"cg20295214","chr1",206226794,8.77210993553835e-08,2.47925749383289e-08,0.00434662217226804,-0.0274612139969362,-0.0273605701091682,-0.0129814917855158
"cg13195486","chr1",218457882,0.0015236123984442,0.000116793033869603,0.00434779389286575,0.0356618143724441,0.0359518208244168,0.0271514542858611
"cg12430618","chr1",207085966,0.0975855569642426,3.86749308261855e-05,0.00441524802856402,0.00595045778154052,0.00954903665129937,0.00687058030887761
"cg18795232","chr12",121890163,8.54377232876272e-05,0.00142581314284332,0.00451529385594245,0.0216652214898924,0.0179730242167838,0.0157428514500022
"cg23067299","chr5",323907,2.21710651327084e-05,4.66075837424852e-05,0.00469971058638622,0.00803119326849488,0.00826904972828182,0.00661405318549828
"cg04332373","chr4",15779642,0.0251904834958979,0.000196228606034029,0.00470166751974888,0.0106803472123238,0.0110544088058052,0.00802619790444357
"cg15109118","chr6",5431669,0.000237628197153561,0.0143517832606373,0.00471436627196046,0.0139102930426758,0.00937591339150451,0.0108791590146036
"cg12843022","chr11",45921959,0.0016290712892728,0.00022800849766803,0.00476722628119195,0.016257011691596,0.0188344194871456,0.0107596273152346
"cg21604136","chr1",9910137,0.726477802513541,5.54408284194109e-05,0.00477558032792063,-0.00218744579655924,0.012031805324335,0.00565680888928192
"cg27016114","chr14",101712466,6.67126436017169e-05,0.000442344980609271,0.00478513408955386,0.0113214333293212,0.00951496518790737,0.00869898085194105
"cg13518625","chr8",29522838,0.00037347265684513,5.44983143692594e-05,0.00490366050360792,-0.0123018313152914,-0.0119607292493603,-0.0088118259981697
"cg07329251","chr11",10476662,0.00354056562140896,8.08885804886154e-06,0.0050059366556332,-0.0266288846470918,-0.0185548041971977,-0.00889971570390144
"cg27532754","chr10",134905361,0.000290686392790783,0.00293519685980209,0.00500974826794898,0.00915314645991147,0.00768743997145288,0.00740173418367138
"cg15172739","chr11",62621258,0.0776720222697462,8.72374288512409e-06,0.00504247769004646,-0.0161199439695416,-0.0208073698264359,-0.0110689682343497
"cg04770751","chr19",7701662,0.000132564407859547,0.000338097226997051,0.00526523150280845,-0.0248864896125152,-0.0237507118822836,-0.0172581321776507
"cg01017464","chr18",47018095,0.00141611796002628,5.72810549271734e-05,0.00529046892922851,-0.0175621116682919,-0.0223719442396618,-0.0131085208677259
"cg24173182","chr17",1961286,0.060744824260535,8.89161775070407e-05,0.00537464883968411,0.0166524233557296,0.0257775388801804,0.01769549137383
"cg10453550","chr4",121763322,0.000222694334193407,0.000870355109369575,0.00538893946738105,0.0448964540745603,0.0387835219236223,0.034458595708775
"cg22283754","chr8",128999428,0.0122046398249551,0.00012869555569724,0.00540051046529153,-0.00674985484565692,-0.00926145158163167,-0.00630929992587832
"cg24154132","chr14",103367632,0.0169543127062249,0.000341157837961969,0.00543269112537284,0.0173284760147366,0.0245693747764953,0.0106699431640569
"cg05220092","chr10",33951030,0.000283957030328382,0.0237694008560003,0.00544410408257551,-0.013856431800442,-0.00595703433423218,-0.00545630025758997
"cg00177243","chr10",18434068,0.000232713507309067,0.00058166236637966,0.00549551653656633,0.0239135588964273,0.0239231367257948,0.0207821463621372
"cg15108699","chr20",62509164,0.000337002582849675,3.92881616552679e-06,0.00564205600266744,0.0180216405459852,0.0216877284335048,0.0122506091313926
"cg20282814","chr1",43423072,0.0697637097401796,2.42326739171211e-05,0.00570949977532027,-0.0173880011839703,-0.0235470497762797,-0.0138822938403076
"cg20244340","chr20",19193989,2.09263098977973e-05,0.000261944809286499,0.00577229048020192,-0.0284932971233148,-0.0261537867042688,-0.0224383245811977
"cg06321596","chr16",17562960,2.1993561103992e-06,0.00247148284784329,0.00578775492698174,-0.0419800297628377,-0.0237682224303896,-0.0225762217901393
"cg01006587","chr19",42579066,0.000341154874461373,0.00115569315890173,0.00585237710400216,0.0120552544846904,0.0101385788663653,0.00779777120671507
"cg16622061","chr16",86888736,0.000347218147593388,0.00110720250306042,0.00586552808477871,-0.030988913536615,-0.0232683621466523,-0.0223465088484179
"cg15212295","chr17",64710687,0.00709001178265168,8.35346563024475e-07,0.00591526919435984,-0.0132402392157429,-0.0179778120234216,-0.0116739016018351
"cg13092108","chr1",26857284,3.64193946270276e-07,1.95608885006363e-08,0.00591762684287761,-0.0267487928837647,-0.0204415171871313,-0.00849127148856012
"cg23048494","chr1",153517384,0.0176477489790646,0.000109308962260075,0.00602051571334948,-0.0152838391904103,-0.0219787304096225,-0.0173722449852202
"cg18465082","chr5",176734745,0.000165204704856496,0.000572956093454827,0.00603163177962632,-0.0241344601967065,-0.0182537312237753,-0.0144786869500958
"cg11263997","chr11",70257280,1.31615745666843e-06,6.44127379058368e-07,0.00603968215833774,0.00787100993499193,0.00775051449196176,0.00468248246831061
"cg16503724","chr3",17130667,0.00340025765168516,8.55771106908451e-05,0.00616760497288946,0.0204928369632587,0.0172349070089503,0.0116680450920588
"cg09222732","chr6",466893,0.00332259082379756,2.94169755524044e-05,0.00620148237410901,-0.0105794200513207,-0.0124074578398895,-0.00788896158572699
"cg26135134","chr15",99500715,0.000181155405720594,0.00124833307289537,0.00629162916732075,0.011004608656638,0.00931523648735428,0.00695089928513538
"cg11684826","chr7",6055582,0.21315970068927,0.00016914083211454,0.00629921867071016,-0.00510242549976413,-0.0114416171526468,-0.00907371970643875
"cg16119613","chr12",127762762,6.2653010543903e-05,0.00873331643429358,0.0063025821751745,-0.0274519626382275,-0.0193195366809397,-0.0173253984830515
"cg18830083","chr17",41221539,0.000110852325509742,0.00477488494358244,0.00631673235645195,0.0126654995653739,0.0090693412797061,0.00706160707034568
"cg08248134","chr13",113659597,4.35551592209409e-05,0.00148977045244171,0.00633279775983089,0.0273934283732224,0.0202643536160107,0.0176480535201441
"cg04551776","chr5",393366,1.14953370714145e-06,1.08020793143595e-07,0.00637932023004261,-0.0326279810843285,-0.0236103492132286,-0.0147484850746434
"cg05824218","chr17",38499096,0.0820114469481457,1.4362414250255e-05,0.00641041548833775,0.0103458804043001,0.0141939355356733,0.00840601094570441
"cg04387347","chr16",88537187,7.13711768667197e-07,7.13147154794751e-07,0.00649204763423817,0.0350539529447014,0.0355609174561982,0.0210677728343866
"cg24082526","chr19",49993125,0.246084985639302,2.57855899919531e-05,0.00673927068646595,-0.010300390863862,-0.0218922328338029,-0.0102916634672106
"cg27168033","chr19",3983219,0.00126919256143453,4.25584631207634e-08,0.00678306938049675,-0.0140891254284135,-0.0194739824435135,-0.00941854714085879
"cg06635952","chr2",70025869,0.0148317156289039,4.90832246351806e-06,0.00678479406988803,0.0167080987558637,0.024769920131895,0.0100936533014958
"cg03631078","chr3",114290368,0.120934900775449,0.00019981006226233,0.0069184592411923,0.0118034377734839,0.0201869073041622,0.01811921821046
"cg11902728","chr19",35786580,0.0326868003144709,2.71417817953952e-07,0.00692261898910932,0.0167281586835224,0.0256638603369549,0.0110736453335038
"cg12281620","chr19",2525290,0.218424418360518,0.00017685532603177,0.00695330225421967,-0.00453215892163593,-0.0109591760324616,-0.00900964386662022
"cg01098955","chr14",106322163,0.000782054556358758,7.90561143364603e-05,0.00699403230052413,-0.0230234450696631,-0.0257683336341001,-0.0202200720370024
"cg02520598","chr5",166406661,4.15947078506861e-05,0.00473613569582459,0.00702154114073159,-0.00439143886614991,-0.00316990932056277,-0.00274502086903908
"cg00877329","chr10",100996579,5.4673692635671e-05,0.000904539013204557,0.0070463759707337,-0.0175824065838833,-0.0134805788024428,-0.0102663368503746
"cg16658180","chr1",210426075,3.0080739505764e-05,0.0231001622269295,0.00709537605778395,-0.0164259750512585,-0.00727410076110202,-0.00633653072423854
"cg07465627","chr17",53167407,1.2973543178182e-07,6.8854416007224e-09,0.00721647023058825,-0.0272656244742466,-0.0284722412061334,-0.0118811143354909
"cg09099830","chr16",30485485,0.000254685937627087,8.44229535934897e-08,0.00722224923204392,-0.0256110069152553,-0.0302974627401667,-0.0156942397641928
"cg04039397","chr3",111260783,0.000369791570459109,8.40419700744757e-06,0.00724258656808329,-0.0394279945019429,-0.0426635851511269,-0.0299453054916756
"cg16685586","chr1",23945686,0.000137607749427391,0.00176055411518413,0.00730967290060647,-0.0158018597907046,-0.0122646726833395,-0.00948353884308891
"cg10858677","chr15",49356663,3.45101310507414e-05,0.000727478681354679,0.00749888506386992,-0.0350396302354986,-0.0248707302007444,-0.0170046118123867
"cg14675361","chr13",76334583,0.000186481258422231,3.757012745071e-08,0.00752052005299398,0.0295210700771953,0.0372301355701073,0.0173266675066256
"cg27241845","chr2",233250370,2.80944843703713e-08,1.6309902747568e-07,0.0075277841623884,-0.0487448951902553,-0.0436778957033824,-0.0189737243360367
"cg03633574","chr3",149954846,0.000132504807058058,2.92693731423733e-05,0.00756374129303535,0.0323310022486036,0.0353317051632651,0.0251335932230486
"cg12723026","chr1",110764594,0.00427541899526135,0.000184668132180125,0.00767626263340992,0.0205041201638099,0.0224820272839871,0.0169856034995261
"cg04875514","chr12",53497147,0.000386949611348503,7.70439839687904e-05,0.00787165203760558,0.0164080099974733,0.0137632522983723,0.00836367172998724
"cg19459791","chr15",65363022,7.37840122954178e-05,1.44600120516181e-05,0.00791242589795072,0.0260288943989038,0.0275720531334806,0.0163843829450484
"cg02173094","chr7",4856101,0.000198803867932299,0.109578397815769,0.0079245218445986,0.011895482119807,0.00477916341531652,0.00843747611375677
"cg20820876","chr2",98365143,0.000488019407503468,0.000360147822834344,0.00797392004409066,-0.0244414226243492,-0.0257436151801796,-0.0211443497143494
"cg02325250","chr5",131409289,0.0014074007760775,2.1443801830967e-05,0.00799067087386878,-0.0193098366034097,-0.021927262283611,-0.0110098643042284
"cg06647928","chr5",73612203,0.120492171430798,5.60002175245512e-05,0.00800826513300107,-0.00878458808864831,-0.0147905709194795,-0.00812910027382259
"cg24604988","chr20",32421988,0.00011872866246948,0.000399849911977851,0.00825727538269587,0.0133094896792774,0.0124253646856466,0.00678303592967019
"cg12798040","chr14",104171840,0.00690028862473627,0.000264941328090102,0.00827199486401665,0.0203912351423312,0.0226691871539737,0.0161267237373502
"cg16519923","chr16",30485810,0.811938614097018,3.62881893782365e-05,0.00830738947574557,-0.00246563693071391,-0.0211159780318852,-0.0116669637633707
"cg03120555","chr7",630473,0.116573632280635,1.71707831748673e-07,0.00831458881898953,0.0208735298343715,0.036834665292178,0.019287753934668
"cg00202479","chr6",31760383,1.01347701066138e-05,1.06115238780842e-05,0.00831642639719601,0.0193694385772861,0.0193708056669653,0.0099221122669852
"cg10814005","chr14",91711041,0.0136715716637082,6.95648051902682e-05,0.00844540413418677,-0.00776891690342897,-0.0116973528045478,-0.00861969684893572
"cg15339249","chr4",36282498,4.53737828533215e-06,8.98941924014008e-05,0.00846035170511622,0.0101045733866223,0.00858461551921447,0.00648664382223521
"cg11405655","chr1",999599,5.94868445462582e-05,0.000463283773285,0.00853270374289347,-0.022508709585471,-0.0183168138020077,-0.0142054801100638
"cg02852421","chr15",70372614,0.000122755228346861,5.47101858084734e-05,0.00858239255618056,0.00604786619173271,0.00588599635757741,0.00373540923898923
"cg18606460","chr4",123082094,0.000136170455148834,0.00120401694859802,0.00861582927962144,0.00470666655496138,0.00386687613446621,0.00315339061580243
"cg06134964","chr3",52812033,3.56473148318274e-05,6.9883778280584e-06,0.00864880942378814,0.0268345504302429,0.0302136629285033,0.016887426007388
"cg02917867","chr19",1265999,3.95022398271497e-05,0.000166595313547182,0.00869533141015443,-0.0222898533638589,-0.0153021895533781,-0.0109689294913472
"cg12878400","chr17",39383026,0.00435850748338462,9.91315718592546e-05,0.00878195140589301,-0.017585681350035,-0.0207473236561231,-0.0113554210701054
"cg12806681","chr5",368394,1.39608325057943e-07,2.49974348513238e-07,0.00880858843238469,-0.0145203422193202,-0.0135864541620836,-0.00752888383016251
"cg23746574","chr4",2839781,0.00210908816779208,0.000119784894918198,0.00898039834765829,0.00329017536292276,0.00402068684520962,0.002406754275116
"cg16793866","chr20",24451518,0.316078287675007,0.000378088551756639,0.00898289212044898,0.00571482697256623,0.0139865984049729,0.00850829638744634
"cg16049691","chr5",434877,2.62901493092412e-05,0.00358417787710594,0.00914428824694638,0.0185549818332233,0.0107036191538432,0.00845930926531606
"cg03274069","chrX",153171699,1.68572230358268e-05,0.00106056924081812,0.00919225419505387,0.041695854800377,0.0310632885265141,0.0238345754023377
"cg05444514","chr6",466935,0.0078739228583591,9.24768706452117e-06,0.00926765621125808,-0.0165558653600946,-0.0196076937276121,-0.0125237412864718
"cg04811945","chr4",15779709,0.000448464442569878,9.73712619666437e-05,0.00969233705909204,0.0136994142849164,0.0127866862011483,0.00793731493086251
"cg05316703","chr2",131862488,0.00025238254665777,0.00454653028110253,0.00978210239408114,-0.00348163066426745,-0.00290467283345395,-0.00302071647052314
"cg05677062","chr12",123874707,0.000445328405456547,0.000227819244372889,0.00978608933841428,-0.0330753625521512,-0.0283774458882662,-0.015944019230776
"cg07465899","chr4",696400,7.93986326377862e-05,0.0015963246854829,0.00991491063921707,0.0153703981549491,0.0107413083296827,0.00884879150053872
"cg03485667","chr16",75143200,8.8392553663442e-05,0.001014988964976,0.0100189622191708,-0.021361282601341,-0.0160947097642261,-0.0120298110664009
"cg09528056","chr4",2964211,0.00852941135505249,0.000195423853537837,0.0102848585397177,-0.0125486615111437,-0.0140633036206381,-0.009322554585086
"cg04359840","chr16",17563300,0.000137090049702344,0.000340874378761334,0.0103219574242913,-0.0295104149073249,-0.0223885404145343,-0.0165546043480699
"cg14435720","chr9",139565087,0.000412970376107327,2.78062385834417e-06,0.0103255701470192,-0.0113989431359263,-0.0157830788477844,-0.00860350979761844
"cg08967456","chr16",3114948,0.400835589593146,3.80087950936282e-05,0.0103714220517076,-0.005812992591557,-0.0181041332210383,-0.011029204372498
"ch.1.4129839F","chr1",212247906,5.94808280997749e-05,0.000698766172981298,0.0104372202960771,-0.0133854808668786,-0.0100671683864073,-0.00890509323215635
"cg15570293","chr19",2327692,0.001096132794705,0.000374318079102023,0.0106561976144519,-0.0399300941320163,-0.0390141003169731,-0.0307024799230839
"cg14316231","chr8",41895100,2.20694218552187e-07,3.38453299826767e-05,0.0106782306259094,-0.0398531587776449,-0.0300137520411864,-0.0168206423418859
"cg15995265","chr1",111764857,0.00125617429675991,8.49971133905618e-05,0.0107548248768747,-0.0231561430951922,-0.0201525401177869,-0.011592890968893
"cg24996979","chr14",74223355,1.60570933252284e-09,3.93934299910235e-09,0.0109596543840442,-0.0222161502169421,-0.0188576854202835,-0.00755840897340852
"cg00689360","chr4",100273995,0.000121915230205215,0.000583183199632449,0.0110528003386513,-0.0360943556542069,-0.0313535268758905,-0.0258068495234937
"cg01157559","chr16",29166162,0.000120943603271812,5.29758280278028e-05,0.0111173461508486,0.033897968147879,0.0348853554745182,0.0268185906493865
"cg17777683","chr2",201986522,0.00138415578177902,1.4847668603529e-06,0.0111943243615173,-0.0305335625423824,-0.0410898242818825,-0.0171553407405128
"cg19797604","chr16",89895059,3.01193922923135e-05,0.000152764804236932,0.0112226405423048,-0.00736254293777635,-0.005677259341758,-0.00366388520592736
"cg01936839","chr7",27198896,5.09628984346202e-05,0.00479714816880884,0.0112955189885013,-0.0252678170967587,-0.0151843484619573,-0.0118961358452731
"cg13039251","chr5",32018601,7.17716498616483e-05,1.05759676731553e-06,0.0112981359643208,0.0486732008582951,0.0506912733239048,0.0242391870951665
"cg27312979","chr10",97094453,5.99794426787227e-07,2.91658027462041e-08,0.0115140299397852,0.0670535909094351,0.0693456194997778,0.0301419761084587
"cg15695624","chr5",65242502,0.000331391817615892,0.00155807137450888,0.011581765227878,0.00435967537072393,0.00406054856546191,0.00271766437861241
"cg07060505","chr12",116756136,0.000371519033875516,0.000413752111075987,0.0117195911750334,0.0100309286225413,0.00947088229205612,0.00753583981386292
"cg09796170","chr1",156548174,2.27148454999488e-05,0.00057876219956529,0.011740960081913,-0.0415064326975595,-0.0277442515964035,-0.0227108458033481
"cg00210249","chr10",71135679,1.94176880556046e-05,1.91485578603421e-05,0.0117420741645126,0.0320271359016906,0.0335665933496407,0.0163146313799069
"cg03430597","chr9",137660514,0.000123462636610494,0.00133200119706676,0.0118320441748605,-0.0189663411580644,-0.0146823983684369,-0.0104669266841296
"cg01731783","chr14",74211788,0.267969883117603,6.20769340876005e-05,0.0119862953473015,-0.00638547108081925,-0.0123928104687248,-0.00747873271395649
"cg23998240","chr14",105166740,3.18133628653583e-05,0.00105631137352976,0.0120107924988345,0.0201419972054322,0.0145006404705926,0.0131945415154011
"cg05952498","chr6",31545257,0.102774500848358,1.64587568153595e-08,0.0120314762170978,-0.0165924717970781,-0.030530318403878,-0.00978901577002944
